index,time,uuid,rssi
122,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-55
123,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-54
124,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-57
125,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-49
126,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-49
127,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-57
128,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-57
129,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-60
130,1626945013,00021592-a7d5-0268-024f-0b9ab687c246,-48
131,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-62
132,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-59
133,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-60
134,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-62
135,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-48
137,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-60
138,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-61
139,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-61
140,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-60
141,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-48
142,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-48
143,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-62
144,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-65
145,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-49
146,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-49
147,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-49
148,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-69
149,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-69
150,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-62
151,1626945014,00021592-a7d5-0268-024f-0b9ab687c246,-49
152,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-66
153,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-49
154,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-46
156,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-64
157,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-61
158,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-60
160,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-49
161,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-59
162,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-58
163,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-57
164,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-57
166,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-56
167,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-51
168,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-64
169,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-52
170,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-50
172,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-57
173,1626945015,00021592-a7d5-0268-024f-0b9ab687c246,-61
174,1626945016,00021592-a7d5-0268-024f-0b9ab687c246,-57
175,1626945016,00021592-a7d5-0268-024f-0b9ab687c246,-56
177,1626945016,00021592-a7d5-0268-024f-0b9ab687c246,-55
178,1626945016,00021592-a7d5-0268-024f-0b9ab687c246,-54
179,1626945016,00021592-a7d5-0268-024f-0b9ab687c246,-52
180,1626945016,00021592-a7d5-0268-024f-0b9ab687c246,-65
